ubigeo,nombdep,nombprov,nombdist,geo_shape
150101,LIMA,LIMA,LIMA,"POLYGON((-77.0123 -12.0536, -77.003 -12.0468, -77.0099 -12.0306, -77.0129 -12.0373, -77.0162 -12.0434, -77.0295 -12.0433, -77.0435 -12.0388, -77.0722 -12.0344, -77.083 -12.0363, -77.0816 -12.0469, -77.0877 -12.0517, -77.0871 -12.0615, -77.0778 -12.0685, -77.0612 -12.0675, -77.0538 -12.0491, -77.0424 -12.0509, -77.0457 -12.0653, -77.0382 -12.0677, -77.0363 -12.0799, -77.0281 -12.0787, -77.0354 -12.0598, -77.0175 -12.0575, -77.0032 -12.0626, -77.0018 -12.0617, -77.0123 -12.0536))"
150103,LIMA,LIMA,ATE,"POLYGON((-76.7846 -12.0093, -76.8052 -11.9985, -76.8133 -12.0024, -76.8373 -11.9923, -76.8441 -12.0027, -76.8998 -12.0141, -76.9008 -12.0146, -76.9211 -12.0225, -76.935 -12.0223, -76.9525 -12.0248, -76.9553 -12.0294, -76.944 -12.0276, -76.9378 -12.0438, -76.9733 -12.0584, -76.9818 -12.063, -76.9935 -12.0566, -76.9978 -12.0608, -76.9872 -12.0641, -76.9873 -12.0799, -76.9821 -12.085, -76.9761 -12.0783, -76.9679 -12.0655, -76.9445 -12.0568, -76.9394 -12.0649, -76.9215 -12.0661, -76.9137 -12.0596, -76.8891 -12.0594, -76.8519 -12.0377, -76.8336 -12.041, -76.8247 -12.0475, -76.8053 -12.0381, -76.7829 -12.0232, -76.7846 -12.0093))"
150104,LIMA,LIMA,BARRANCO,"POLYGON((-77.0292 -12.14, -77.0263 -12.1573, -77.0161 -12.1556, -77.0124 -12.1404, -77.018 -12.1312, -77.0292 -12.14))"
150105,LIMA,LIMA,BREÑA,"POLYGON((-77.0424 -12.0509, -77.0538 -12.0491, -77.0612 -12.0675, -77.0497 -12.0702, -77.0457 -12.0653, -77.0424 -12.0509))"
150106,LIMA,LIMA,CARABAYLLO,"POLYGON((-76.8183 -11.7478, -76.8338 -11.7438, -76.8527 -11.7487, -76.8677 -11.7475, -76.885 -11.7348, -76.9027 -11.7288, -76.9145 -11.7322, -76.9156 -11.7452, -76.9333 -11.7564, -76.951 -11.7471, -76.96 -11.7344, -76.9736 -11.7361, -76.9737 -11.748, -76.9853 -11.7463, -76.9968 -11.7524, -77.011 -11.7511, -77.0325 -11.7408, -77.0394 -11.7525, -77.0531 -11.7651, -77.057 -11.7858, -77.0727 -11.7919, -77.0823 -11.8009, -77.0922 -11.8036, -77.086 -11.8211, -77.0894 -11.8302, -77.0804 -11.8449, -77.0589 -11.8581, -77.0598 -11.8692, -77.0522 -11.8767, -77.0541 -11.8898, -77.0407 -11.8954, -77.0334 -11.9074, -77.0255 -11.9093, -77.0143 -11.9032, -77.0059 -11.9039, -76.988 -11.8971, -76.9766 -11.8913, -76.9621 -11.8729, -76.9423 -11.8609, -76.9342 -11.8447, -76.9356 -11.8337, -76.9164 -11.8314, -76.9033 -11.8227, -76.9066 -11.7961, -76.8965 -11.7932, -76.8775 -11.7946, -76.8615 -11.7989, -76.8512 -11.7981, -76.8433 -11.7857, -76.8255 -11.7773, -76.8049 -11.7559, -76.8183 -11.7478))"
150108,LIMA,LIMA,CHORRILLOS,"POLYGON((-77.0263 -12.1573, -77.0291 -12.1659, -77.0377 -12.1688, -77.0395 -12.1822, -77.0377 -12.2041, -76.9759 -12.2307, -76.977 -12.2177, -76.9729 -12.1953, -76.977 -12.1945, -76.9862 -12.1677, -76.9982 -12.167, -77.0024 -12.1742, -77.0138 -12.1666, -77.0161 -12.1556, -77.0263 -12.1573))"
150110,LIMA,LIMA,COMAS,"POLYGON((-77.0059 -11.9039, -77.0143 -11.9032, -77.0255 -11.9093, -77.0334 -11.9074, -77.0407 -11.8954, -77.0541 -11.8898, -77.0639 -11.9009, -77.0737 -11.9177, -77.0699 -11.9531, -77.0652 -11.9524, -77.0602 -11.9766, -77.0474 -11.9664, -77.0283 -11.9607, -77.0179 -11.9498, -77.0172 -11.9373, -77.0055 -11.93, -76.9902 -11.9135, -76.988 -11.8971, -77.0059 -11.9039))"
150112,LIMA,LIMA,INDEPENDENCIA,"POLYGON((-77.0283 -11.9607, -77.0474 -11.9664, -77.0602 -11.9766, -77.066 -11.9775, -77.0613 -12.0085, -77.053 -12.011, -77.045 -12.0118, -77.0309 -11.9968, -77.0283 -11.9607))"
150113,LIMA,LIMA,JESUS MARIA,"POLYGON((-77.0382 -12.0677, -77.0457 -12.0653, -77.0497 -12.0702, -77.0631 -12.0865, -77.055 -12.0919, -77.0487 -12.0851, -77.0363 -12.0799, -77.0382 -12.0677))"
150114,LIMA,LIMA,LA MOLINA,"POLYGON((-76.9137 -12.0596, -76.9215 -12.0661, -76.9394 -12.0649, -76.9445 -12.0568, -76.9679 -12.0655, -76.9761 -12.0783, -76.9609 -12.0917, -76.951 -12.1044, -76.9477 -12.1175, -76.9408 -12.1222, -76.9206 -12.119, -76.9108 -12.1223, -76.8963 -12.1123, -76.8857 -12.0921, -76.8856 -12.0764, -76.8911 -12.0672, -76.8891 -12.0594, -76.9137 -12.0596))"
