fecha,medidas,tipo,dormitorios,disponible,piso,dormitorios_cont,area,modelo,precio,proyecto_link
"31 de Diciembre, 2025",47.42 a 119.20 m2,Departamento,1 a 3 dormitorios,12 unidades disponibles,Entre 3 al 16,2 dorm.,60.23 m2,TIPO 1,"501,916",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2706-high-line-santiago-de-surco-lima-lima-tribeca-inmobiliaria
"31 de Diciembre, 2025",47.42 a 119.20 m2,Departamento,1 a 3 dormitorios,4 unidades disponibles,"13, 14, 15, 16",3 dorm.,69.73 m2,TIPO 2,"614,844",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2706-high-line-santiago-de-surco-lima-lima-tribeca-inmobiliaria
"31 de Diciembre, 2025",47.42 a 119.20 m2,Departamento,1 a 3 dormitorios,9 unidades disponibles,Entre 4 al 15,3 dorm.,67.80 m2,TIPO 3,"602,667",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2706-high-line-santiago-de-surco-lima-lima-tribeca-inmobiliaria
"31 de Diciembre, 2025",47.42 a 119.20 m2,Departamento,1 a 3 dormitorios,6 unidades disponibles,Entre 2 al 16,2 dorm.,60.07 m2,TIPO 4,"588,888",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2706-high-line-santiago-de-surco-lima-lima-tribeca-inmobiliaria
"31 de Diciembre, 2025",47.42 a 119.20 m2,Departamento,1 a 3 dormitorios,10 unidades disponibles,Entre 3 al 13,2 dorm.,60.37 m2,TIPO 5,"536,622",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2706-high-line-santiago-de-surco-lima-lima-tribeca-inmobiliaria
"31 de Diciembre, 2025",47.42 a 119.20 m2,Departamento,1 a 3 dormitorios,14 unidades disponibles,Entre 3 al 16,3 dorm.,66.35 m2,TIPO 6,"552,250",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2706-high-line-santiago-de-surco-lima-lima-tribeca-inmobiliaria
"31 de Diciembre, 2025",47.42 a 119.20 m2,Departamento,1 a 3 dormitorios,5 unidades disponibles,"2, 7, 8, 11, 14",1 dorm.,51.28 m2,TIPO 7,"430,083",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2706-high-line-santiago-de-surco-lima-lima-tribeca-inmobiliaria
"31 de Diciembre, 2025",47.42 a 119.20 m2,Departamento,1 a 3 dormitorios,15 unidades disponibles,Entre 2 al 16,3 dorm.,60.00 m2,TIPO 8,"537,083",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2706-high-line-santiago-de-surco-lima-lima-tribeca-inmobiliaria
"31 de Diciembre, 2025",47.42 a 119.20 m2,Departamento,1 a 3 dormitorios,9 unidades disponibles,Entre 2 al 13,2 dorm.,60.12 m2,TIPO 9,"418,417",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2706-high-line-santiago-de-surco-lima-lima-tribeca-inmobiliaria
"31 de Diciembre, 2025",47.42 a 119.20 m2,Departamento,1 a 3 dormitorios,15 unidades disponibles,Entre 2 al 16,1 dorm.,55.66 m2,TIPO 10,"464,250",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2706-high-line-santiago-de-surco-lima-lima-tribeca-inmobiliaria
"31 de Diciembre, 2025",47.42 a 119.20 m2,Departamento,1 a 3 dormitorios,13 unidades disponibles,Entre 2 al 15,1 dorm.,54.34 m2,TIPO 11,"532,267",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2706-high-line-santiago-de-surco-lima-lima-tribeca-inmobiliaria
"31 de Diciembre, 2025",47.42 a 119.20 m2,Departamento,1 a 3 dormitorios,11 unidades disponibles,Entre 5 al 16,1 dorm.,47.42 m2,TIPO 12,"382,833",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2706-high-line-santiago-de-surco-lima-lima-tribeca-inmobiliaria
