fecha,medidas,tipo,dormitorios,disponible,piso,dormitorios_cont,area,modelo,precio,proyecto_link
"25 de Septiembre, 2025",34.91 a 115.95 m2,Departamento,1 a 3 dormitorios,1 unidad disponible,9,1 dorm.,39.14 m2,x03,"301,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3273-mar-de-grau-chorrillos-lima-lima-2k-inmobiliaria
"25 de Septiembre, 2025",34.91 a 115.95 m2,Departamento,1 a 3 dormitorios,6 unidades disponibles,Entre 4 al 9,1 dorm.,34.91 m2,x04,"263,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3273-mar-de-grau-chorrillos-lima-lima-2k-inmobiliaria
"25 de Septiembre, 2025",34.91 a 115.95 m2,Departamento,1 a 3 dormitorios,6 unidades disponibles,Entre 2 al 9,2 dorm.,57.15 m2,x02,"464,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3273-mar-de-grau-chorrillos-lima-lima-2k-inmobiliaria
"25 de Septiembre, 2025",34.91 a 115.95 m2,Departamento,1 a 3 dormitorios,1 unidad disponible,10,1 dorm.,40.64 m2,1001,"304,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3273-mar-de-grau-chorrillos-lima-lima-2k-inmobiliaria
"25 de Septiembre, 2025",34.91 a 115.95 m2,Departamento,1 a 3 dormitorios,1 unidad disponible,1,3 dorm.,59.44 m2,102,"479,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3273-mar-de-grau-chorrillos-lima-lima-2k-inmobiliaria
"25 de Septiembre, 2025",34.91 a 115.95 m2,Departamento,1 a 3 dormitorios,6 unidades disponibles,Entre 3 al 9,3 dorm.,56.69 m2,x05,"407,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3273-mar-de-grau-chorrillos-lima-lima-2k-inmobiliaria
"25 de Septiembre, 2025",34.91 a 115.95 m2,Departamento,1 a 3 dormitorios,4 unidades disponibles,"3, 5, 7, 8",2 dorm.,56.67 m2,x01,"441,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3273-mar-de-grau-chorrillos-lima-lima-2k-inmobiliaria
"25 de Septiembre, 2025",34.91 a 115.95 m2,Departamento,1 a 3 dormitorios,,,,,,,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3273-mar-de-grau-chorrillos-lima-lima-2k-inmobiliaria
"25 de Septiembre, 2025",34.91 a 115.95 m2,Departamento,1 a 3 dormitorios,,,,,,,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3273-mar-de-grau-chorrillos-lima-lima-2k-inmobiliaria
"25 de Septiembre, 2025",34.91 a 115.95 m2,Departamento,1 a 3 dormitorios,,,,,,,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3273-mar-de-grau-chorrillos-lima-lima-2k-inmobiliaria
"25 de Septiembre, 2025",34.91 a 115.95 m2,Departamento,1 a 3 dormitorios,,,,,,,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3273-mar-de-grau-chorrillos-lima-lima-2k-inmobiliaria
"31 de Mayo, 2027",39.31 a 68.69 m2,Departamento,1 a 3 dormitorios,1 unidad disponible,2,3 dorm.,66.78 m2,T2X209,"338,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3318-gaviotas-176-chorrillos-lima-lima-v-v-grupo-inmobiliario
"31 de Mayo, 2027",39.31 a 68.69 m2,Departamento,1 a 3 dormitorios,6 unidades disponibles,Entre 3 al 8,3 dorm.,67.77 m2,T2X01,"319,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3318-gaviotas-176-chorrillos-lima-lima-v-v-grupo-inmobiliario
"31 de Mayo, 2027",39.31 a 68.69 m2,Departamento,1 a 3 dormitorios,9 unidades disponibles,Entre 3 al 12,2 dorm.,57.30 m2,T2X02,"275,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3318-gaviotas-176-chorrillos-lima-lima-v-v-grupo-inmobiliario
"31 de Mayo, 2027",39.31 a 68.69 m2,Departamento,1 a 3 dormitorios,7 unidades disponibles,Entre 3 al 12,1 dorm.,39.46 m2,T2X03,"222,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3318-gaviotas-176-chorrillos-lima-lima-v-v-grupo-inmobiliario
"31 de Mayo, 2027",39.31 a 68.69 m2,Departamento,1 a 3 dormitorios,10 unidades disponibles,Entre 3 al 13,3 dorm.,66.58 m2,T2X04,"322,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3318-gaviotas-176-chorrillos-lima-lima-v-v-grupo-inmobiliario
"31 de Mayo, 2027",39.31 a 68.69 m2,Departamento,1 a 3 dormitorios,11 unidades disponibles,Entre 3 al 14,3 dorm.,67.86 m2,T2X05,"341,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3318-gaviotas-176-chorrillos-lima-lima-v-v-grupo-inmobiliario
"31 de Mayo, 2027",39.31 a 68.69 m2,Departamento,1 a 3 dormitorios,12 unidades disponibles,Entre 3 al 14,2 dorm.,56.80 m2,T2X06,"293,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3318-gaviotas-176-chorrillos-lima-lima-v-v-grupo-inmobiliario
