fecha,medidas,tipo,dormitorios,disponible,piso,dormitorios_cont,area,modelo,divisa,precio,proyecto_link
30/04/2027,40.01 a 82.96 m2 total,Departamentos,1 a 3 dormitorios,6 unidades disponibles,"Pisos 13, 14, 15, 16",1 dorms.,40.01 m²,Modelo 1 Dormitorio + Kitchenette,Soles,"373,772",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3413-concepto-unity-park-santiago-de-surco-lima-lima-imagina
30/04/2027,40.01 a 82.96 m2 total,Departamentos,1 a 3 dormitorios,12 unidades disponibles,Pisos 9 al 16,3 dorms.,74.26 m²,Modelo 3 Dormitorios + Cocina,Soles,"699,818",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3413-concepto-unity-park-santiago-de-surco-lima-lima-imagina
30/04/2027,40.01 a 82.96 m2 total,Departamentos,1 a 3 dormitorios,6 unidades disponibles,Pisos 15 y 16,2 dorms.,50.51 m²,Modelo 2 Dormitorios + Kitchenette,Soles,"475,594",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3413-concepto-unity-park-santiago-de-surco-lima-lima-imagina
30/04/2027,40.01 a 82.96 m2 total,Departamentos,1 a 3 dormitorios,1 unidad disponible,Piso 16,3 dorms.,64.77 m²,Modelo 3 Dormitorios + Kitchenette,Soles,"628,474",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3413-concepto-unity-park-santiago-de-surco-lima-lima-imagina
30/04/2027,40.01 a 82.96 m2 total,Departamentos,1 a 3 dormitorios,5 unidades disponibles,"Pisos 11, 13, 14, 15, 16",2 dorms.,57.74 m²,Modelo 2 Dormitorios + Kitchenette (Mariposa),Soles,"524,104",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3413-concepto-unity-park-santiago-de-surco-lima-lima-imagina
30/04/2027,40.01 a 82.96 m2 total,Departamentos,1 a 3 dormitorios,8 unidades disponibles,"Pisos 13, 14, 15, 16",2 dorms.,45.47 m²,Modelo 1.5 Dormitorio + Kitchenette,Soles,"417,088",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3413-concepto-unity-park-santiago-de-surco-lima-lima-imagina
01/02/2027,73.20 a 77 m2 total,Departamentos,3 dormitorios,8 unidades disponibles,Pisos 2 al 9,3 dorms.,75.42 m²,Modelo X01,Soles,"405,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3430-azul-condominio-santiago-de-surco-lima-lima-enacorp
01/02/2027,73.20 a 77 m2 total,Departamentos,3 dormitorios,7 unidades disponibles,Pisos 2 al 9,3 dorms.,77.00 m²,Modelo X04,Soles,"432,500",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3430-azul-condominio-santiago-de-surco-lima-lima-enacorp
01/02/2027,73.20 a 77 m2 total,Departamentos,3 dormitorios,9 unidades disponibles,Pisos 3 al 11,3 dorms.,73.20 m²,Modelo X05,Soles,"400,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3430-azul-condominio-santiago-de-surco-lima-lima-enacorp
01/02/2027,73.20 a 77 m2 total,Departamentos,3 dormitorios,10 unidades disponibles,Pisos 4 al 13,3 dorms.,74.42 m²,Modelo X06,Soles,"400,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3430-azul-condominio-santiago-de-surco-lima-lima-enacorp
