proyecto_link,latitude,longitude,hospital,supermarket,transit_station,school,university,bank,restaurant
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2511-miramar-etapa-ii-san-bartolo-lima-lima-octagon,-12.3851014,-76.7788706,4,0,4,3,2,0,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3310-miramar-etapa-iii-san-bartolo-lima-lima-octagon,-12.3851014,-76.7788706,4,0,4,3,2,0,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2651-edificio-marbella-lurin-lima-lima-andiamo,-12.3036073,-76.849776,0,0,0,1,0,0,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3535-quinta-villa-chorrillos-lima-lima-puerta-de-tierra,-12.1972863,-77.0006385,0,0,9,0,1,2,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3318-gaviotas-176-chorrillos-lima-lima-v-v-grupo-inmobiliario,-12.182188,-77.007618,8,3,17,16,0,12,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2246-alameda-las-gaviotas-iii-chorrillos-lima-lima-cissac,-12.1819756,-77.0074657,8,2,15,19,1,12,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2947-los-gorriones-5-chorrillos-lima-lima-grupo-toscana,-12.1819667,-77.0065645,8,1,15,17,1,14,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2861-mixxo-chorrillos-lima-lima-avenir-grupo-inmobiliario,-12.1805896,-77.0017001,2,2,15,15,1,15,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2391-florece-chorrillos-lima-lima-la-muralla,-12.1803506,-77.0016151,1,2,15,14,1,13,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3497-florece-etapa-2-chorrillos-lima-lima-la-muralla,-12.1803506,-77.0016151,1,2,15,14,1,13,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1336-villa-campina-chorrillos-lima-lima-constructora-inarco,-12.180171,-77.0045918,3,1,10,14,1,8,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2348-alto-gaviotas-chorrillos-lima-lima-stella-inmobiliaria,-12.1789864,-77.0064743,6,2,16,20,1,4,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3103-gran-guardia-peruana-chorrillos-lima-lima-los-portales-departamentos,-12.1789057,-77.0039287,4,2,7,16,1,1,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2331-print-chorrillos-lima-lima-casaideal-inmobiliaria,-12.1788216,-76.9984844,1,2,20,20,0,2,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1995-condominio-felizia-chorrillos-lima-lima-la-venturosa,-12.1783328,-77.0003629,2,3,20,18,1,1,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3434-faisanes-iii-chorrillos-lima-lima-actual,-12.1778867,-76.9995149,1,3,20,20,1,0,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2774-faisanes-343-chorrillos-lima-lima-actual,-12.1775717,-77.0002642,2,3,20,20,1,0,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3543-link-chorrillos-lima-lima-casaideal-inmobiliaria,-12.1773503,-76.9994062,1,3,20,18,0,1,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3334-residencial-green-life-chorrillos-lima-lima-verones-grupo-inmobiliario,-12.1770542,-77.0042084,3,1,12,18,1,2,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3211-las-praderas-chorrillos-lima-lima-tale-inmobiliaria,-12.1768259,-76.999209,1,3,20,16,0,1,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2990-friendz-2-chorrillos-lima-lima-hl-desarrollos-inmobiliarios,-12.1750078,-77.0003604,1,1,18,17,0,0,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3663-albamar-miralba-chorrillos-lima-lima-albamar-grupo-inmobiliario,-12.174038,-76.9930137,2,5,12,20,0,7,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2322-las-palmas-chorrillos-2-chorrillos-lima-lima-besco,-12.1708847,-76.9989738,1,2,20,20,0,2,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3467-jardines-chorrillos-lima-lima-arteco,-12.1708447,-76.9951595,2,6,17,20,0,8,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3555-olaya-535-chorrillos-lima-lima-frontera,-12.1677011,-77.0260783,8,4,20,20,6,11,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2095-edificio-alvarado-chorrillos-lima-lima-andiamo,-12.1667633,-77.0220931,12,3,20,20,6,11,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3273-mar-de-grau-chorrillos-lima-lima-2k-inmobiliaria,-12.1643106,-77.0243792,7,2,16,20,6,5,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3203-condominio-villalegre-santiago-de-surco-lima-lima-la-venturosa,-12.1640787,-76.9896911,6,3,13,16,2,4,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3256-dolce-mare-chorrillos-lima-lima-la-muralla,-12.1637028,-77.0231084,8,1,14,20,4,3,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3357-samoa-santiago-de-surco-lima-lima-ee-inmobiliaria,-12.1595059,-76.9751192,9,2,14,20,4,17,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2261-vista-marina-356-chorrillos-lima-lima-tale-inmobiliaria,-12.1591001,-77.0243453,1,0,6,10,2,1,14
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1974-invent-chorrillos-chorrillos-lima-lima-invent,-12.1588843,-77.021169,3,1,7,17,3,5,17
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3427-costazul-chorrillos-lima-lima-avenir-grupo-inmobiliario,-12.1587854,-77.0236341,2,1,6,12,2,3,17
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3016-arise-chorrillos-lima-lima-octagon,-12.1581641,-77.0238926,2,1,7,6,2,2,18
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3557-malecon-costa-sur-658-chorrillos-lima-lima-frontera,-12.1574229,-77.0243786,2,1,7,7,2,2,17
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2986-mykonos-chorrillos-lima-lima-ifi-inmobiliaria,-12.1572169,-77.0237336,2,1,7,7,2,2,17
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2370-samay-santiago-de-surco-lima-lima-paqari-inmobiliaria,-12.1553228,-77.0165953,2,3,2,18,1,4,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3491-centrico-cercado-de-lima-lima-lima-grupo-mg,-12.1513565,-76.9734035,12,9,18,20,4,20,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3260-parque-el-rosal-santiago-de-surco-lima-lima-ee-inmobiliaria,-12.1473842,-76.9986886,0,1,0,9,0,0,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3545-los-poetas-barranco-lima-lima-rb-arquitectura,-12.1464678,-77.0194446,9,2,15,20,2,12,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2424-barranco-urbano-barranco-lima-lima-constructora-inmobiliaria-multidepas,-12.1442911,-77.0145957,2,3,14,20,0,12,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2387-bongo-condominio-santiago-de-surco-lima-lima-akamai,-12.1441379,-77.012477,2,3,15,18,1,13,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3430-azul-condominio-santiago-de-surco-lima-lima-enacorp,-12.1433823,-77.0119933,1,3,15,19,1,13,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2361-paseo-de-la-arboleda-4-santiago-de-surco-lima-lima-v-v-grupo-inmobiliario,-12.1424189,-77.0093577,4,2,9,14,1,6,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3221-casa-barranco-195-barranco-lima-lima-gdc-inmobiliaria,-12.1409252,-77.0201024,8,4,20,20,2,10,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2584-arch-two-barranco-lima-lima-zaavio-inmobiliaria,-12.1402038,-77.0140482,1,2,16,18,1,9,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2354-artline-barranco-lima-lima-edifica,-12.1401007,-77.022128,7,4,20,20,3,5,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2378-balboa-santiago-de-surco-lima-lima-ee-inmobiliaria,-12.1396019,-77.0070845,1,2,5,8,3,2,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1631-aspiria-barranco-lima-lima-grupo-t-c,-12.1393379,-77.0192287,3,5,20,20,2,9,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2517-catalino-etapa-i-barranco-lima-lima-grupo-tyc,-12.1386437,-77.0148415,1,2,15,17,1,9,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2818-the-sight-barranco-lima-lima-edifica,-12.1385568,-77.0256784,0,3,16,10,4,4,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3360-horne-137-barranco-lima-lima-calicanto,-12.1383424,-77.0185159,3,6,20,20,1,10,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3411-las-donas-santiago-de-surco-lima-lima-constructora-atlas,-12.1376931,-76.9973407,2,3,10,20,2,1,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3057-arrieta-271-barranco-lima-lima-libre-inmobiliaria,-12.1373284,-77.0210531,4,5,20,20,6,6,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2430-patria-barranco-lima-lima-invent,-12.1371605,-77.0198954,4,5,20,20,5,7,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2997-casa-barranco-695-barranco-lima-lima-gdc-inmobiliaria,-12.1363904,-77.0197986,5,4,20,20,4,9,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2573-malecon-acacias-miraflores-lima-lima-aurora-grupo-inmobiliario,-12.1353259,-77.0265917,2,1,11,12,8,2,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3205-casa-paraud-miraflores-lima-lima-grupo-caral,-12.1345806,-77.0269382,4,1,11,12,7,4,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3623-vibrant-barranco-lima-lima-promotora-la-muralla-del-sur,-12.134196,-77.0188484,4,3,11,20,6,12,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3642-acacias-miraflores-lima-lima-edifica,-12.1340539,-77.0258672,4,2,13,14,10,2,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2722-mariscal-castilla-santiago-de-surco-lima-lima-tale-inmobiliaria,-12.1339349,-77.0149424,3,2,9,10,1,10,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3391-aster-reducto-miraflores-lima-lima-aster-homes,-12.13373,-77.0231618,3,4,16,20,9,5,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3573-catena-miraflores-lima-lima-kallpa,-12.1335852,-77.0227371,4,4,19,20,9,6,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3518-vasco-nunez-141-miraflores-lima-lima-aurora-grupo-inmobiliario,-12.1334676,-77.0282223,4,1,13,10,6,7,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2935-hq7-santiago-de-surco-lima-lima-ee-inmobiliaria,-12.1332526,-77.0015304,5,2,8,15,0,3,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3534-kenko-ii-santiago-de-surco-lima-lima-constructora-atlas,-12.1332347,-77.0060886,3,1,0,10,3,6,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3369-residencial-astete-2608-santiago-de-surco-lima-lima-grupo-dicon,-12.1331091,-76.9898439,3,3,3,12,2,1,12
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2978-guadalajara-277-santiago-de-surco-lima-lima-cp-building,-12.132937,-77.0121582,3,0,0,10,1,6,16
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2200-malecon-la-paz-miraflores-lima-lima-aurora-grupo-inmobiliario,-12.1329355,-77.0252984,4,3,17,15,10,4,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2712-proyecto-cobian-miraflores-lima-lima-vive-constructora,-12.1328785,-77.0198191,10,3,15,20,6,9,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3456-bosco-santiago-de-surco-lima-lima-conforta-inmobiliaria,-12.1328673,-77.016726,8,2,11,16,1,10,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3004-mf-work-living-apartments-miraflores-lima-lima-hl-desarrollos-inmobiliarios,-12.1328479,-77.021977,6,5,19,20,7,9,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3400-flexi-ii-santiago-de-surco-lima-lima-central-inmobiliaria,-12.1326983,-77.0119821,2,0,0,12,1,5,18
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3444-las-moras-santiago-de-surco-lima-lima-vartel-constructora-inmobiliaria,-12.1325378,-77.0013498,4,2,9,14,0,4,18
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2508-lumiere-miraflores-lima-lima-grupo-tyc,-12.1323852,-77.0214028,7,6,15,20,5,10,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3281-irigoyen-128-santiago-de-surco-lima-lima-sembra-inmobiliaria,-12.1322314,-77.0173808,10,2,11,15,1,12,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1950-el-alcazar-santiago-de-surco-lima-lima-ee-inmobiliaria,-12.1316015,-77.0000123,8,3,17,13,2,12,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3316-pop-miraflores-lima-lima-ee-inmobiliaria,-12.1315849,-77.0224882,6,3,9,20,7,5,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3556-juan-de-rada-348-santiago-de-surco-lima-lima-fampar-inmobiliaria,-12.1315176,-76.9937689,7,0,10,18,1,3,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2811-braganza-santiago-de-surco-lima-lima-ee-inmobiliaria,-12.1312649,-77.0008013,8,3,15,13,2,15,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2794-zante-santiago-de-surco-lima-lima-ifi-inmobiliaria,-12.1312522,-77.0020052,13,5,12,17,2,12,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3524-affinity-miraflores-lima-lima-edifica,-12.1309396,-77.0227322,7,4,10,20,4,4,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3413-concepto-unity-park-santiago-de-surco-lima-lima-imagina,-12.1308737,-76.9824286,7,3,20,20,13,13,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3041-soho-select-miraflores-lima-lima-soho-inmobiliaria,-12.130523,-77.0276645,8,6,20,16,6,16,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3024-castellana-173-santiago-de-surco-lima-lima-ee-inmobiliaria,-12.130496,-77.0015209,13,4,17,14,3,18,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2294-santa-isabel-169-miraflores-lima-lima-labok-grupo-inmobiliario,-12.1303424,-77.0273451,9,6,20,20,6,16,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3553-parkview-santiago-de-surco-lima-lima-avenir-grupo-inmobiliario,-12.1302457,-76.9904465,12,4,9,9,3,8,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3648-riva-miraflores-lima-lima-paz,-12.1300327,-77.0325352,4,3,16,11,4,12,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3350-the-edge-miraflores-lima-lima-edifica,-12.1299535,-77.0296821,8,5,19,14,3,13,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3025-centrix-28-miraflores-lima-lima-ee-inmobiliaria,-12.1299006,-77.0214802,13,3,14,20,1,9,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3585-nuvo-miraflores-lima-lima-constructora-inarco,-12.1296867,-77.0257575,10,5,20,20,9,8,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2570-henko-miraflores-lima-lima-constructora-inarco,-12.1294641,-77.0258832,10,5,20,20,7,11,20
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3368-residencial-trazo-santiago-de-surco-lima-lima-grupo-dicon,-12.1293067,-76.9856602,16,5,15,19,3,19,20
