inmobiliaria_nombre,inmobiliaria_imagen,proyecto_nombre,proyecto_etapa,proyecto_precio,proyecto_direccion,proyecto_link,proyecto_imagen,proyecto_distrito,ubigeo_id
CASA BONITA,https://e.nexoinmobiliario.pe/customers/casa-bonita/logo-189-20250912114804.jpg,Central Home,Entrega Inmediata,429900,Av Petit Thouars 951,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1816-central-home-cercado-de-lima-lima-lima-casa-bonita,https://e.nexoinmobiliario.pe/customers/casa-bonita-inmobiliaria/1816-central-home/departamentos-cercado-de-lima-6876deb4a707e_xm.jpg,Cercado de lima,150101
GRUPO MG,https://e.nexoinmobiliario.pe/customers/grupo-mg/logo-164-20231027061802.jpg,LOS PINOS III -SANTA BEATRIZ,Entrega Inmediata,442940,Jr. Manuel del Pino 638,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1866-los-pinos-iii-santa-beatriz-cercado-de-lima-lima-lima-grupo-mg,https://e.nexoinmobiliario.pe/customers/grupo-mg/1866-los-pinos-iii-santa-beatriz/departamentos-cercado-de-lima-68ff81ec89e2b_xm.jpg,Cercado de lima,150101
GRUPO MG,https://e.nexoinmobiliario.pe/customers/grupo-mg/logo-164-20231027061802.jpg,VISTA VERDE - SANTA BEATRIZ,Entrega Inmediata,380660,Jr. Torres Paz 834,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1867-vista-verde-santa-beatriz-cercado-de-lima-lima-lima-grupo-mg,https://e.nexoinmobiliario.pe/customers/grupo-mg/1867-vista-verde-santa-beatriz/departamentos-cercado-de-lima-68ff82394b5b9_xm.jpg,Cercado de lima,150101
URBANA PERÚ,https://e.nexoinmobiliario.pe/customers/urbana-peru/logo-84-20231027061800.jpg,S14 Apartments,Entrega Inmediata,468500,Avenida Arequipa N°1437,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1993-s14-apartments-cercado-de-lima-lima-lima-urbana-perú,https://e.nexoinmobiliario.pe/customers/urbana-peru/1993-s14-apartments/departamentos-cercado-de-lima-603806dadd2d3_xm.jpg,Cercado de lima,150101
CHECOR INMOBILIARIA,https://e.nexoinmobiliario.pe/customers/checor-inmobiliaria/logo-308-20231027061807.jpg,Checor | Las Magnolias,Entrega Inmediata,421900,Av. Petit Thouars 1460,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2213-checor-las-magnolias-cercado-de-lima-lima-lima-checor-inmobiliaria,https://e.nexoinmobiliario.pe/customers/checor-inmobiliaria/2213-checor-las-magnolias/departamentos-cercado-de-lima-683f56100d6ba_xm.jpg,Cercado de lima,150101
INVENT,https://e.nexoinmobiliario.pe/customers/invent/logo-268-20231027061805.jpg,Invent Tirado,Entrega Inmediata,374800,Tirado 629,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2253-invent-tirado-cercado-de-lima-lima-lima-invent,https://e.nexoinmobiliario.pe/customers/invent/2253-invent-tirado/departamentos-cercado-de-lima-692dc1c82322a_xm.jpg,Cercado de lima,150101
GRUPO MG,https://e.nexoinmobiliario.pe/customers/grupo-mg/logo-164-20231027061802.jpg,SMART A - SANTA BEATRIZ,Entrega Inmediata,465600,Jr. Enrique Barron 1149,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2308-smart-a-santa-beatriz-cercado-de-lima-lima-lima-grupo-mg,https://e.nexoinmobiliario.pe/customers/grupo-mg/2308-smart-a-santa-beatriz/departamentos-cercado-de-lima-68ff827faeead_xm.jpg,Cercado de lima,150101
EUREKA,https://e.nexoinmobiliario.pe/customers/eureka/logo-194-20250929153132.jpg,Park Living,Entrega Inmediata,375000,Av. Petit Thouars 969,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2324-park-living-cercado-de-lima-lima-lima-eureka,https://e.nexoinmobiliario.pe/customers/eureka/2324-park-living/departamentos-cercado-de-lima-68dabf0c82752_xm.jpg,Cercado de lima,150101
CANTABRIA,https://e.nexoinmobiliario.pe/customers/cantabria/logo-23-20251103171610.jpg,Duetto 846,Entrega Inmediata,335000,Av. Alejandro Bertello 846,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2462-duetto-846-cercado-de-lima-lima-lima-cantabria,https://e.nexoinmobiliario.pe/customers/inmobiliaria-cantabria-sac/2462-duetto-846/departamentos-cercado-de-lima-667b3a381078a_xm.jpg,Cercado de lima,150101
CHECOR INMOBILIARIA,https://e.nexoinmobiliario.pe/customers/checor-inmobiliaria/logo-308-20231027061807.jpg,Checor | Las Dalias,Entrega Inmediata,464000,Jr. Enrique Barrón 1366 - Santa Beatriz,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2641-checor-las-dalias-cercado-de-lima-lima-lima-checor-inmobiliaria,https://e.nexoinmobiliario.pe/customers/checor-inmobiliaria/2641-checor-las-dalias/departamentos-cercado-de-lima-683f66a1af316_xm.jpg,Cercado de lima,150101
BESCO,https://e.nexoinmobiliario.pe/customers/besco/logo-68-20250912112631.jpg,Alameda Central Condominio - Torre 3 y 8,En Construcción,335900,Av. Colonial 1194 - (Ex Av. Mariscal Oscar R. Benavides),https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2647-alameda-central-condominio-torre-3-y-8-cercado-de-lima-lima-lima-besco,https://e.nexoinmobiliario.pe/customers/besco-s-a-c/2647-alameda-central-condominio/departamentos-cercado-de-lima-680b8058748f2_xm.jpg,Cercado de lima,150101
IMAGINA,https://e.nexoinmobiliario.pe/customers/imagina/logo-186-20250912114720.jpg,Alto Alborada,Entrega Inmediata,352842,Av. Venezuela 2575,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2660-alto-alborada-cercado-de-lima-lima-lima-imagina,https://e.nexoinmobiliario.pe/customers/inversiones-inmobiliarias-del-peru-s-a/2660-alto-alborada/departamentos-cercado-de-lima-67ed6d4014146_xm.jpg,Cercado de lima,150101
CIUDARIS,https://e.nexoinmobiliario.pe/customers/ciudaris/logo-20-20250912141126.jpg,CIUDARIS  I  ICONIK PARK,Entrega Inmediata,410000,Mariano Carranza 436,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2767-ciudaris-i-iconik-park-cercado-de-lima-lima-lima-ciudaris,https://e.nexoinmobiliario.pe/customers/ciudaris/2767-ciudaris-i-iconik-park/departamentos-cercado-de-lima-691356dc44f37_xm.jpg,Cercado de lima,150101
LOS PORTALES DEPARTAMENTOS,https://e.nexoinmobiliario.pe/customers/los-portales-departamentos/logo-350-20250912122110.jpg,Gran Central Colonial II,En Construcción,252024,"Av. Óscar R. Benavides 2140, Cercado de Lima",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2825-gran-central-colonial-ii-cercado-de-lima-lima-lima-los-portales-departamentos,https://e.nexoinmobiliario.pe/customers/los-portales-construye-s-a-c/2825-gran-central-colonial-ii/departamentos-cercado-de-lima-67ad0a3988f67_xm.jpg,Cercado de lima,150101
RUMI GRUPO INMOBILIARIO,https://e.nexoinmobiliario.pe/customers/rumi-grupo-inmobiliario/logo-454-20231027061812.jpg,PIETRA  CENTRALE,En Construcción,293996,Jr. Manuel del Pino 238-240,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2850-pietra-centrale-cercado-de-lima-lima-lima-rumi-grupo-inmobiliario,https://e.nexoinmobiliario.pe/customers/rumi-grupo-inmobiliario/2850-pietra-centrale/departamentos-cercado-de-lima-68f801cc8fcc5_xm.jpg,Cercado de lima,150101
CANTABRIA,https://e.nexoinmobiliario.pe/customers/cantabria/logo-23-20251103171610.jpg,DUETTO 846 - FASE II,Entrega Inmediata,335000,Av. Alejandro Bertello 846,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2888-duetto-846-fase-ii-cercado-de-lima-lima-lima-cantabria,https://e.nexoinmobiliario.pe/customers/inmobiliaria-cantabria-sac/2888-duetto-846-fase-ii/departamentos-pueblo-libre-66904faa0cc55_xm.jpg,Cercado de lima,150101
IMAGINA,https://e.nexoinmobiliario.pe/customers/imagina/logo-186-20250912114720.jpg,Alto Lima Park,Entrega Inmediata,320757,Av. Oscar R. Benavides 1106,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2907-alto-lima-park-cercado-de-lima-lima-lima-imagina,https://e.nexoinmobiliario.pe/customers/inversiones-inmobiliarias-del-peru-s-a/2907-alto-lima-park/departamentos-cercado-de-lima-67ed6d7050626_xm.jpg,Cercado de lima,150101
INVENT,https://e.nexoinmobiliario.pe/customers/invent/logo-268-20231027061805.jpg,Nueva Metrópolis,En Planos,255700,"Av. Alejandro Tirado 344, Santa Beatriz",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2912-nueva-metropolis-cercado-de-lima-lima-lima-invent,https://e.nexoinmobiliario.pe/customers/invent/2912-nueva-metropolis/departamentos-cercado-de-lima-692dc3c38769d_xm.jpg,Cercado de lima,150101
ALBAMAR GRUPO INMOBILIARIO,https://e.nexoinmobiliario.pe/customers/albamar-grupo-inmobiliario/logo-108-20250912113347.jpg,Albamar | Arenales,Entrega Inmediata,286800,Av. Arenales 1093,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2996-albamar-arenales-cercado-de-lima-lima-lima-albamar-grupo-inmobiliario,https://e.nexoinmobiliario.pe/customers/inmobiliaria-albamar-sac/2996-albamar-arenales/departamentos-cercado-de-lima-68b868aee88b3_xm.jpg,Cercado de lima,150101
QUATRO INMOBILIARIA,https://e.nexoinmobiliario.pe/customers/quatro-inmobiliaria/logo-27-20250912111202.jpg,Urban Tower 3,En Construcción,265778,Avenida Mariano Cornejo 1824,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3001-urban-tower-3-cercado-de-lima-lima-lima-quatro-inmobiliaria,https://e.nexoinmobiliario.pe/customers/quatro-inmobiliaria/3001-urban-tower-3/departamentos-cercado-de-lima-68f67cd175e37_xm.jpg,Cercado de lima,150101
MARTE,https://e.nexoinmobiliario.pe/customers/marte/logo-60-20250912112119.jpg,Amatista,En Construcción,279000,Av. Brasil 325,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3008-amatista-cercado-de-lima-lima-lima-marte,https://e.nexoinmobiliario.pe/customers/marte-grupo-inmobiliario/3008-amatista/departamentos-cercado-de-lima-67b4a7d73c1d0_xm.jpg,Cercado de lima,150101
