inmobiliaria_nombre,inmobiliaria_imagen,proyecto_nombre,proyecto_etapa,proyecto_precio,proyecto_direccion,proyecto_link,proyecto_imagen,proyecto_distrito,ubigeo_id,fecha,medidas,tipo,dormitorios
CANTABRIA,https://e.nexoinmobiliario.pe/customers/inmobiliaria-cantabria-sac/logo-23-20231027061758.jpg,Reserva 748,Entrega Inmediata,350000,Av. Arequipa 748 -768,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1301-reserva-748-cercado-de-lima-lima-lima-cantabria,https://e.nexoinmobiliario.pe/customers/inmobiliaria-cantabria-sac/1301-reserva-748/departamentos-cercado-de-lima-5e1f51fbe068f_xm.jpg,Cercado de lima,150101,"30 de Agosto, 2022",45.53 a 60.96 m2,Departamento,1 a 2 dormitorios
CASA BONITA,https://e.nexoinmobiliario.pe/customers/casa-bonita-inmobiliaria/logo-189-20240228140328.jpg,Central Home,Entrega Inmediata,384900,Av Petit Thouars 951,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1816-central-home-cercado-de-lima-lima-lima-casa-bonita,https://e.nexoinmobiliario.pe/customers/casa-bonita-inmobiliaria/1816-central-home/departamentos-cercado-de-lima-676494a3ccc2b_xm.jpg,Cercado de lima,150101,"31 de Diciembre, 2022",53.38 a 69.75 m2,Departamento,1 a 3 dormitorios
GRUPO MG,https://e.nexoinmobiliario.pe/customers/grupo-mg/logo-164-20231027061802.jpg,Edificio Los Pinos III,Entrega Inmediata,477000,Jr. Manuel del Pino 638,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1866-edificio-los-pinos-iii-cercado-de-lima-lima-lima-grupo-mg,https://e.nexoinmobiliario.pe/customers/grupo-mg/1866-edificio-los-pinos-iii/departamentos-cercado-de-lima-67226a0d4877d_xm.jpg,Cercado de lima,150101,"31 de Octubre, 2023",80.00 a 81.90 m2,Departamento,2 a 3 dormitorios
GRUPO MG,https://e.nexoinmobiliario.pe/customers/grupo-mg/logo-164-20231027061802.jpg,Edificio Vista Verde,Entrega Inmediata,273000,Jr. Torres Paz 834,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1867-edificio-vista-verde-cercado-de-lima-lima-lima-grupo-mg,https://e.nexoinmobiliario.pe/customers/grupo-mg/1867-edificio-vista-verde/departamentos-cercado-de-lima-67226719b62cf_xm.jpg,Cercado de lima,150101,"31 de Octubre, 2023",36.85 a 119.00 m2,Departamento,1 a 3 dormitorios
URBANA PERÚ,https://e.nexoinmobiliario.pe/customers/urbana-peru/logo-84-20231027061800.jpg,S14 Apartments,Entrega Inmediata,481761,Avenida Arequipa N°1437,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1993-s14-apartments-cercado-de-lima-lima-lima-urbana-perú,https://e.nexoinmobiliario.pe/customers/urbana-peru/1993-s14-apartments/departamentos-cercado-de-lima-6769f3002badb_xm.jpg,Cercado de lima,150101,"30 de Septiembre, 2024",66.00 a 129.36 m2,Departamento,1 a 3 dormitorios
CASAIDEAL INMOBILIARIA,https://e.nexoinmobiliario.pe/customers/casaideal-s-a-c/logo-53-20231027061759.jpg,UNITY,Entrega Inmediata,455300,"Av. Arenales N° 1109, Cercado de Lima",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2084-unity-cercado-de-lima-lima-lima-casaideal-inmobiliaria,https://e.nexoinmobiliario.pe/customers/casaideal-s-a-c/2084-unity/departamentos-cercado-de-lima-66f31bca4e05c_xm.jpg,Cercado de lima,150101,"30 de Noviembre, 2023",63.64 a 64.85 m2,Departamento,2 a 3 dormitorios
CHECOR INMOBILIARIA,https://e.nexoinmobiliario.pe/customers/checor-inmobiliaria/logo-308-20231027061807.jpg,Checor | Las Magnolias,Entrega Inmediata,474000,Av. Petit Thouars 1460,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2213-checor-las-magnolias-cercado-de-lima-lima-lima-checor-inmobiliaria,https://e.nexoinmobiliario.pe/customers/checor-inmobiliaria/2213-checor-las-magnolias/departamentos-cercado-de-lima-66f736c755d41_xm.jpg,Cercado de lima,150101,"31 de Marzo, 2024",65.92 a 96.01 m2,Departamento,2 a 3 dormitorios
INVENT,https://e.nexoinmobiliario.pe/customers/invent/logo-268-20231027061805.jpg,Invent Tirado,En Construcción,262641,Tirado 629,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2253-invent-tirado-cercado-de-lima-lima-lima-invent,https://e.nexoinmobiliario.pe/customers/invent/2253-invent-tirado/departamentos-cercado-de-lima-67096bddc0361_xm.jpg,Cercado de lima,150101,"31 de Diciembre, 2023",43.14 a 152.55 m2,Departamento,1 a 3 dormitorios
GRUPO MG,https://e.nexoinmobiliario.pe/customers/grupo-mg/logo-164-20231027061802.jpg,Smart A,Entrega Inmediata,411000,Jr. Enrique Barron 1149,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2308-smart-a-cercado-de-lima-lima-lima-grupo-mg,https://e.nexoinmobiliario.pe/customers/grupo-mg/2308-smart-a/departamentos-cercado-de-lima-672265bbebd50_xm.jpg,Cercado de lima,150101,"31 de Octubre, 2023",57.00 a 83.80 m2,Departamento,2 a 3 dormitorios
EUREKA,https://e.nexoinmobiliario.pe/customers/inmobiliaria-eureka-sac/logo-194-20231027061803.jpg,Park Living,Entrega Inmediata,338911,Av. Petit Thouars 965,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2324-park-living-cercado-de-lima-lima-lima-eureka,https://e.nexoinmobiliario.pe/customers/inmobiliaria-eureka-sac/2324-park-living/departamentos-cercado-de-lima-65c508a23b151_xm.jpg,Cercado de lima,150101,"01 de Enero, 2024",37.56 a 90.36 m2,Departamento,1 a 4 dormitorios
CANTABRIA,https://e.nexoinmobiliario.pe/customers/inmobiliaria-cantabria-sac/logo-23-20231027061758.jpg,Duetto 846,En Construcción,345000,Av. Alejandro Bertello 846,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2462-duetto-846-cercado-de-lima-lima-lima-cantabria,https://e.nexoinmobiliario.pe/customers/inmobiliaria-cantabria-sac/2462-duetto-846/departamentos-cercado-de-lima-667b3a0a55faa_xm.jpg,Cercado de lima,150101,"31 de Marzo, 2025",47.80 a 143.10 m2,Departamento,1 a 3 dormitorios
CHECOR INMOBILIARIA,https://e.nexoinmobiliario.pe/customers/checor-inmobiliaria/logo-308-20231027061807.jpg,Checor | Las Dalias,En Construcción,483000,Jr. Enrique Barrón 1366 - Santa Beatriz,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2641-checor-las-dalias-cercado-de-lima-lima-lima-checor-inmobiliaria,https://e.nexoinmobiliario.pe/customers/checor-inmobiliaria/2641-checor-las-dalias/departamentos-cercado-de-lima-66f7371f2f194_xm.jpg,Cercado de lima,150101,"30 de Septiembre, 2024",69.28 a 72.30 m2,Departamento,3 a 3 dormitorios
BESCO,https://e.nexoinmobiliario.pe/customers/besco-s-a-c/logo-68-20231027061759.jpg,Alameda Central Condominio,En Construcción,257000,Av. Oscar R. Benavides 1140 (Ex Av. Colonial),https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2647-alameda-central-condominio-cercado-de-lima-lima-lima-besco,https://e.nexoinmobiliario.pe/customers/besco-s-a-c/2647-alameda-central-condominio/departamentos-cercado-de-lima-6709497cd8108_xm.jpg,Cercado de lima,150101,"28 de Febrero, 2025",65.00 a 72.00 m2,Departamento,2 a 3 dormitorios
IMAGINA,https://e.nexoinmobiliario.pe/customers/inversiones-inmobiliarias-del-peru-s-a/logo-186-20240103165124.jpg,Alto Alborada,En Construcción,313968,Av. Venezuela 2575,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2660-alto-alborada-cercado-de-lima-lima-lima-imagina,https://e.nexoinmobiliario.pe/customers/inversiones-inmobiliarias-del-peru-s-a/2660-alto-alborada/departamentos-cercado-de-lima-6696f659042b3_xm.jpg,Cercado de lima,150101,"01 de Marzo, 2025",64.18 a 78.04 m2,Departamento,3 a 3 dormitorios
REDBAY INMOBILIARIA,https://e.nexoinmobiliario.pe/customers/redbay-inmobiliaria/logo-470-20231027061813.jpg,HANAN,Entrega Inmediata,349900,Av. Oscar R. Benavides - Ex Colonial Nro. 605 ,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2711-hanan-cercado-de-lima-lima-lima-redbay-inmobiliaria,https://e.nexoinmobiliario.pe/customers/redbay-inmobiliaria/2711-hanan/departamentos-cercado-de-lima-6686f630b148d_xm.jpg,Cercado de lima,150101,"30 de Junio, 2024",57.17 a 74.67 m2,Departamento,2 a 3 dormitorios
