inmobiliaria_nombre,proyecto_nombre,proyecto_etapa,proyecto_direccion,proyecto_distrito,ubigeo_id,latitude,longitude,hospital,supermarket,transit_station,school,university,bank,restaurant,fecha,proyecto_tipo,proyecto_medidas,proyecto_dormitorios,dep_disponibilidad,dep_piso,dep_dormitorios,dep_area,dep_modelo,dep_precio
CANTABRIA,Reserva 748,Entrega Inmediata,Av. Arequipa 748 -768,Cercado de lima,150101,-12.0718375,-77.0365738,12,12,12,12,12,12,12,"30 de Agosto, 2022",Departamento,45.53 a 60.96 m2,1 a 2 dormitorios,1 unidad disponible,2,1 dorm.,47.22 m2,Tipo 2,350000
CANTABRIA,Reserva 748,Entrega Inmediata,Av. Arequipa 748 -768,Cercado de lima,150101,-12.0718375,-77.0365738,12,12,12,12,12,12,12,"30 de Agosto, 2022",Departamento,45.53 a 60.96 m2,1 a 2 dormitorios,2 unidades disponibles,4 y 19,1 dorm.,45.53 m2,Tipo 3,350000
CANTABRIA,Reserva 748,Entrega Inmediata,Av. Arequipa 748 -768,Cercado de lima,150101,-12.0718375,-77.0365738,12,12,12,12,12,12,12,"30 de Agosto, 2022",Departamento,45.53 a 60.96 m2,1 a 2 dormitorios,6 unidades disponibles,3,2 dorm.,59.85 m2,Tipo 5,460000
CANTABRIA,Reserva 748,Entrega Inmediata,Av. Arequipa 748 -768,Cercado de lima,150101,-12.0718375,-77.0365738,12,12,12,12,12,12,12,"30 de Agosto, 2022",Departamento,45.53 a 60.96 m2,1 a 2 dormitorios,3 unidades disponibles,"4, 11, 20",2 dorm.,60.96 m2,Tipo 6,460000
CASA BONITA,Central Home,Entrega Inmediata,Av Petit Thouars 951,Cercado de lima,150101,-12.0736234,-77.034891,12,12,12,12,12,12,12,"31 de Diciembre, 2022",Departamento,53.38 a 63.50 m2,1 a 2 dormitorios,2 unidades disponibles,13 y 14,2 dorm.,63.50 m2,Tipo 3,431900
CASA BONITA,Central Home,Entrega Inmediata,Av Petit Thouars 951,Cercado de lima,150101,-12.0736234,-77.034891,12,12,12,12,12,12,12,"31 de Diciembre, 2022",Departamento,53.38 a 63.50 m2,1 a 2 dormitorios,2 unidades disponibles,2 y 7,1 dorm.,53.38 m2,Tipo 4,384900
CASA BONITA,Central Home,Entrega Inmediata,Av Petit Thouars 951,Cercado de lima,150101,-12.0736234,-77.034891,12,12,12,12,12,12,12,"31 de Diciembre, 2022",Departamento,53.38 a 63.50 m2,1 a 2 dormitorios,3 unidades disponibles,"2, 3, 6",2 dorm.,61.87 m2,Tipo 5,426900
GRUPO MG,Edificio Los Pinos III,Entrega Inmediata,Jr. Manuel del Pino 638,Cercado de lima,150101,-12.0782224,-77.0315961,10,10,10,10,10,10,10,"31 de Octubre, 2023",Departamento,80.00 a 81.90 m2,2 a 3 dormitorios,3 unidades disponibles,"4, 5, 6",3 dorm.,80.00 m2,TIPO 5,477000
GRUPO MG,Edificio Vista Verde,Entrega Inmediata,Jr. Torres Paz 834,Cercado de lima,150101,-12.0720063,-77.0321308,3,3,3,3,3,3,3,"31 de Octubre, 2023",Departamento,55.00 a 119.00 m2,1 a 3 dormitorios,3 unidades disponibles,"5, 7, 11",2 dorm.,67.40 m2,TIPO 10,430880
GRUPO MG,Edificio Vista Verde,Entrega Inmediata,Jr. Torres Paz 834,Cercado de lima,150101,-12.0720063,-77.0321308,3,3,3,3,3,3,3,"31 de Octubre, 2023",Departamento,55.00 a 119.00 m2,1 a 3 dormitorios,2 unidades disponibles,8 y 10,2 dorm.,67.40 m2,TIPO 9,430880
GRUPO MG,Edificio Vista Verde,Entrega Inmediata,Jr. Torres Paz 834,Cercado de lima,150101,-12.0720063,-77.0321308,3,3,3,3,3,3,3,"31 de Octubre, 2023",Departamento,55.00 a 119.00 m2,1 a 3 dormitorios,1 unidad disponible,18,3 dorm.,89.50 m2,TIPO 8-II,558950
GRUPO MG,Edificio Vista Verde,Entrega Inmediata,Jr. Torres Paz 834,Cercado de lima,150101,-12.0720063,-77.0321308,3,3,3,3,3,3,3,"31 de Octubre, 2023",Departamento,55.00 a 119.00 m2,1 a 3 dormitorios,4 unidades disponibles,"12, 14, 18, 19",3 dorm.,73.10 m2,TIPO 7,458910
GRUPO MG,Edificio Vista Verde,Entrega Inmediata,Jr. Torres Paz 834,Cercado de lima,150101,-12.0720063,-77.0321308,3,3,3,3,3,3,3,"31 de Octubre, 2023",Departamento,55.00 a 119.00 m2,1 a 3 dormitorios,1 unidad disponible,11,3 dorm.,73.10 m2,TIPO 8-I,466220
GRUPO MG,Edificio Vista Verde,Entrega Inmediata,Jr. Torres Paz 834,Cercado de lima,150101,-12.0720063,-77.0321308,3,3,3,3,3,3,3,"31 de Octubre, 2023",Departamento,55.00 a 119.00 m2,1 a 3 dormitorios,1 unidad disponible,18,3 dorm.,73.10 m2,TIPO 6-II,458910
GRUPO MG,Edificio Vista Verde,Entrega Inmediata,Jr. Torres Paz 834,Cercado de lima,150101,-12.0720063,-77.0321308,3,3,3,3,3,3,3,"31 de Octubre, 2023",Departamento,55.00 a 119.00 m2,1 a 3 dormitorios,1 unidad disponible,19,2 dorm.,55.00 m2,TIPO 6,359550
GRUPO MG,Edificio Vista Verde,Entrega Inmediata,Jr. Torres Paz 834,Cercado de lima,150101,-12.0720063,-77.0321308,3,3,3,3,3,3,3,"31 de Octubre, 2023",Departamento,55.00 a 119.00 m2,1 a 3 dormitorios,3 unidades disponibles,"7, 11, 17",2 dorm.,71.40 m2,TIPO 6-I,448540
GRUPO MG,Edificio Vista Verde,Entrega Inmediata,Jr. Torres Paz 834,Cercado de lima,150101,-12.0720063,-77.0321308,3,3,3,3,3,3,3,"31 de Octubre, 2023",Departamento,55.00 a 119.00 m2,1 a 3 dormitorios,2 unidades disponibles,12 y 19,2 dorm.,71.40 m2,TIPO 5,448540
GRUPO MG,Edificio Vista Verde,Entrega Inmediata,Jr. Torres Paz 834,Cercado de lima,150101,-12.0720063,-77.0321308,3,3,3,3,3,3,3,"31 de Octubre, 2023",Departamento,55.00 a 119.00 m2,1 a 3 dormitorios,1 unidad disponible,18,2 dorm.,71.40 m2,TIPO 4-III,448540
